adresse
"10.0  RUE FOUR, Paris 6.0"
"158.0  BD SAINT GERMAIN, Paris 6.0"
"40.0  RUE SEINE, Paris 6.0"
"3.0 B RUE BEAUX ARTS, Paris 6.0"
"5.0  QU MALAQUAIS, Paris 6.0"
"31.0  RUE BEAUNE, Paris 7.0"
"5.0  RUE BAC, Paris 7.0"
"52.0  RUE UNIVERSITE, Paris 7.0"
"44.0  RUE BAC, Paris 7.0"
"240.0 B BD SAINT GERMAIN, Paris 7.0"
"97.0  RUE BAC, Paris 7.0"
"27.0  RUE VARENNE, Paris 7.0"
"13.0  RUE LECLUSE, Paris 17.0"
"109.0  RUE GRENELLE, Paris 7.0"
"8.0  PL PALAIS BOURBON, Paris 7.0"
"2.0  RUE ROBERT ESNAULT PELTERIE, Paris 7.0"
"82.0  RUE SEVRES, Paris 7.0"
"1.0  PL ECOLE MILITAIRE, Paris 7.0"
"5.0  RUE CHAMP DE MARS, Paris 7.0"
"8.0  RUE CHAMP DE MARS, Paris 7.0"
"49.0  AV BOSQUET, Paris 7.0"
"24.0  RUE CLER, Paris 7.0"
"3.0  RUE CLER, Paris 7.0"
"1.0  RUE CLER, Paris 7.0"
"81.0  RUE SAINT DOMINIQUE, Paris 7.0"
"2.0 T RUE MALAR, Paris 7.0"
"16.0 T AV BOSQUET, Paris 7.0"
"13.0  RUE DUPONT DES LOGES, Paris 7.0"
"112.0  RUE SAINT DOMINIQUE, Paris 7.0"
"145.0  RUE SAINT DOMINIQUE, Paris 7.0"
"15.0  RUE AUGEREAU, Paris 7.0"
"54.0  AV LA BOURDONNAIS, Paris 7.0"
"61.0  AV SUFFREN, Paris 7.0"
"28.0  RUE MARBEUF, Paris 8.0"
"5.0  RUE MARBEUF, Paris 8.0"
"23.0  RUE WASHINGTON, Paris 8.0"
"102.0  AV CHAMPS ELYSEES, Paris 8.0"
"47.0  RUE BERRI, Paris 8.0"
"71.0  AV FRANKLIN D  ROOSEVELT, Paris 8.0"
"86.0  RUE LA BOETIE, Paris 8.0"
"44.0  RUE PONTHIEU, Paris 8.0"
"26.0  RUE BERRI, Paris 8.0"
"28.0  RUE PONTHIEU, Paris 8.0"
"56.0  RUE COLISEE, Paris 8.0"
"21.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"29.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"9.0  RUE CHEVALIER DE SAINT GEORGE, Paris 8.0"
"19.0  RUE VIGNON, Paris 8.0"
"9.0  RUE ROME, Paris 8.0"
"25.0  RUE ROYALE, Paris 8.0"
"31.0  RUE ANJOU, Paris 8.0"
"17.0  RUE ROQUEPINE, Paris 8.0"
"64.0  RUE LA BOETIE, Paris 8.0"
"146.0  BD HAUSSMANN, Paris 8.0"
"60.0  RUE MIROMESNIL, Paris 8.0"
"113.0  BD HAUSSMANN, Paris 8.0"
"4.0  RUE LABORDE, Paris 8.0"
"87.0  RUE MONCEAU, Paris 8.0"
"84.0  RUE ROCHER, Paris 8.0"
"30.0  RUE CONSTANTINOPLE, Paris 8.0"
"61.0  RUE ROME, Paris 8.0"
"39.0  RUE AMSTERDAM, Paris 8.0"
"75.0  RUE BLANCHE, Paris 9.0"
"64.0  RUE SAINT LAZARE, Paris 9.0"
"13.0  RUE TOUR DES DAMES, Paris 9.0"
"15.0  RUE CHAPTAL, Paris 9.0"
"41.0  RUE MARTYRS, Paris 9.0"
"53.0  RUE NOTRE DAME DE LORETTE, Paris 9.0"
"7.0  RUE NOTRE DAME DE LORETTE, Paris 9.0"
"15.0  RUE NOTRE DAME DE LORETTE, Paris 9.0"
"42.0  RUE SAINT GEORGES, Paris 9.0"
"56.0  RUE SAINT GEORGES, Paris 9.0"
"8.0  RUE SAINT LAZARE, Paris 9.0"
"33.0  BD CLICHY, Paris 9.0"
"100.0  RUE SAINT LAZARE, Paris 9.0"
"9.0  AV CLICHY, Paris 17.0"
"104.0  RUE SAINT LAZARE, Paris 9.0"
"60.0  RUE CHAUSSEE D ANTIN, Paris 9.0"
"31.0  RUE MOGADOR, Paris 9.0"
"28.0  RUE TRONCHET, Paris 9.0"
"28.0  RUE GODOT DE MAUROY, Paris 9.0"
"22.0  RUE DROUOT, Paris 9.0"
"10.0  RUE GRANGE BATELIERE, Paris 9.0"
"42.0  RUE RICHER, Paris 9.0"
"1.0 T CITE BERGERE, Paris 9.0"
"37.0  RUE FAUBOURG POISSONNIERE, Paris 9.0"
"51.0  RUE FAUBOURG POISSONNIERE, Paris 9.0"
"10.0  RUE VICTOIRE, Paris 9.0"
"65.0  RUE CONDORCET, Paris 9.0"
"71.0  RUE CONDORCET, Paris 9.0"
"13.0  AV TRUDAINE, Paris 9.0"
"4.0  RUE LALLIER, Paris 9.0"
"147.0  RUE FAUBOURG POISSONNIERE, Paris 9.0"
"12.0  RUE ROCHECHOUART, Paris 9.0"
"21.0  RUE ABBEVILLE, Paris 9.0"
"145.0  BD MAGENTA, Paris 10.0"
"51.0  BD CHAPELLE, Paris 10.0"
"168.0  BD MAGENTA, Paris 10.0"
"131.0  RUE LA FAYETTE, Paris 10.0"
"210.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"9.0  RUE PERDONNET, Paris 10.0"
"237.0  RUE FAUBOURG SAINT MARTIN, Paris 10.0"
"200.0  RUE LA FAYETTE, Paris 10.0"
"4.0  RUE HUIT MAI 1945, Paris 10.0"
"158.0  RUE LA FAYETTE, Paris 10.0"
"7.0  RUE DEUX GARES, Paris 10.0"
"91.0  BD MAGENTA, Paris 10.0"
"52.0  RUE FAUBOURG POISSONNIERE, Paris 10.0"
"16.0  RUE ECHIQUIER, Paris 10.0"
"67.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"72.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"55.0  RUE CHATEAU D EAU, Paris 10.0"
"14.0  BD SAINT DENIS, Paris 10.0"
"49.0  RUE CHATEAU D EAU, Paris 10.0"
"2.0  BD STRASBOURG, Paris 10.0"
"60.0  RUE CHATEAU D EAU, Paris 10.0"
"73.0  RUE FAUBOURG SAINT MARTIN, Paris 10.0"
"44.0  RUE RENE BOULANGER, Paris 10.0"
"4.0  BD SAINT MARTIN, Paris 10.0"
"16.0  AV RICHERAND, Paris 10.0"
"24.0  RUE YVES TOUDIC, Paris 10.0"
"7.0  RUE SAINT LAURENT, Paris 10.0"
"27.0  RUE CHATEAU D EAU, Paris 10.0"
"13.0  BD VILLETTE, Paris 10.0"
"31.0  RUE JACQUES LOUVEL TESSIER, Paris 10.0"
"40.0  RUE JACQUES LOUVEL TESSIER, Paris 10.0"
"102.0  RUE FAUBOURG DU TEMPLE, Paris 11.0"
"8.0  RUE PRESENTATION, Paris 11.0"
"129.0  RUE OBERKAMPF, Paris 11.0"
"106.0  RUE SAINT MAUR, Paris 11.0"
"64.0  RUE JEAN PIERRE TIMBAUD, Paris 11.0"
"108.0  AV PARMENTIER, Paris 11.0"
"133.0  AV PARMENTIER, Paris 11.0"
"123.0  AV PARMENTIER, Paris 11.0"
"21.0  RUE TROIS BORNES, Paris 11.0"
"17.0  AV REPUBLIQUE, Paris 11.0"
"6.0  AV REPUBLIQUE, Paris 11.0"
"14.0  AV REPUBLIQUE, Paris 11.0"
"5.0  AV REPUBLIQUE, Paris 11.0"
"51.0 B AV REPUBLIQUE, Paris 11.0"
"125.0  BD MENILMONTANT, Paris 11.0"
"48.0 B RUE SAINT MAUR, Paris 11.0"
"35.0  RUE SAINT MAUR, Paris 11.0"
"2.0  RUE LACHARRIERE, Paris 11.0"
"79.0  BD VOLTAIRE, Paris 11.0"
"96.0  BD BEAUMARCHAIS, Paris 11.0"
"36.0  RUE SAINT SEBASTIEN, Paris 11.0"
"54.0  AV REPUBLIQUE, Paris 11.0"
"23.0  RUE AMELOT, Paris 11.0"
"21.0  RUE DAVAL, Paris 11.0"
"1.0  COUR DAMOYE, Paris 11.0"
"16.0  RUE DAVAL, Paris 11.0"
"56.0  RUE SEDAINE, Paris 11.0"
"64.0  RUE SEDAINE, Paris 11.0"
"78.0  RUE SEDAINE, Paris 11.0"
"11.0  RUE PETION, Paris 11.0"
"101.0  AV PHILIPPE AUGUSTE, Paris 11.0"
"119.0  BD VOLTAIRE, Paris 11.0"
"130.0  BD VOLTAIRE, Paris 11.0"
"29.0  RUE KELLER, Paris 11.0"
"10.0  PAS THIERE, Paris 11.0"
"5.0  RUE CHARONNE, Paris 11.0"
"23.0  RUE FAUBOURG SAINT ANTOINE, Paris 11.0"
"33.0  RUE FAUBOURG SAINT ANTOINE, Paris 11.0"
"24.0  RUE LAPPE, Paris 11.0"
"34.0  RUE LAPPE, Paris 11.0"
"23.0  RUE FAIDHERBE, Paris 11.0"
"3.0  RUE JULES VALLES, Paris 11.0"
"4.0  RUE PAUL BERT, Paris 11.0"
"3.0  RUE BOULETS, Paris 11.0"
"2.0  RUE BOULETS, Paris 11.0"
"267.0  BD VOLTAIRE, Paris 11.0"
"205.0  BD VOLTAIRE, Paris 11.0"
"64.0  RUE LEVIS, Paris 17.0"
"171.0 B BD VOLTAIRE, Paris 11.0"
"24.0  AV PHILIPPE AUGUSTE, Paris 11.0"
"84.0  AV SAINT MANDE, Paris 12.0"
"121.0  BD SOULT, Paris 12.0"
"72.0  BD SOULT, Paris 12.0"
"36.0  BD PICPUS, Paris 12.0"
"77.0  BD PICPUS, Paris 12.0"
"1.0  RUE REUILLY, Paris 12.0"
"233.0  AV DAUMESNIL, Paris 12.0"
"247.0  AV DAUMESNIL, Paris 12.0"
"49.0 B AV GENERAL MICHEL BIZOT, Paris 12.0"
"28.0  RUE WATTIGNIES, Paris 12.0"
"158.0  AV DAUMESNIL, Paris 12.0"
"8.0  RUE DUGOMMIER, Paris 12.0"
"21.0  BD REUILLY, Paris 12.0"
"89.0  RUE REUILLY, Paris 12.0"
"4.0  RUE RIESENER, Paris 12.0"
"206.0  RUE CHARENTON, Paris 12.0"
"214.0  RUE CHARENTON, Paris 12.0"
"244.0  RUE CHARENTON, Paris 12.0"
"30.0  RUE JOSEPH KESSEL, Paris 12.0"
"72.0  BD DIDEROT, Paris 12.0"
"151.0  RUE CHARENTON, Paris 12.0"
"153.0  RUE CHARENTON, Paris 12.0"
"34.0  RUE ALIGRE, Paris 12.0"
"24.0  RUE HECTOR MALOT, Paris 12.0"
"1.0  RUE COTTE, Paris 12.0"
"6.0  RUE PRAGUE, Paris 12.0"
"8.0  RUE PRAGUE, Paris 12.0"
"70.0  AV LEDRU ROLLIN, Paris 12.0"
"2.0  RUE SAINT NICOLAS, Paris 12.0"
"5.0  RUE JULES CESAR, Paris 12.0"
"10.0  RUE LYON, Paris 12.0"
"15.0  RUE PARROT, Paris 12.0"
"11.0  RUE AUSTERLITZ, Paris 12.0"
"18.0  AV LEDRU ROLLIN, Paris 12.0"
"7.0  BD SAINT MARCEL, Paris 13.0"
"11.0  BD SAINT MARCEL, Paris 13.0"
"86.0 B BD HOPITAL, Paris 13.0"
"94.0  RUE DESSOUS DES BERGES, Paris 13.0"
"98.0  AV CHOISY, Paris 13.0"
"1.0  RUE JEANNE D ARC, Paris 13.0"
"44.0  AV IVRY, Paris 13.0"
"101.0  RUE TOLBIAC, Paris 13.0"
"33.0  RUE CAILLAUX, Paris 13.0"
"15.0  AV CHOISY, Paris 13.0"
"62.0  RUE BOBILLOT, Paris 13.0"
"2.0  RUE DOCTEUR LANDOUZY, Paris 13.0"
"33.0  RUE PEUPLIERS, Paris 13.0"
"30.0  AV ITALIE, Paris 13.0"
"30.0  AV ITALIE, Paris 13.0"
"14.0  RUE MOULIN DES PRES, Paris 13.0"
"67.0  AV ITALIE, Paris 13.0"
"1.0  AV SOEUR ROSALIE, Paris 13.0"
"52.0  AV GOBELINS, Paris 13.0"
"44.0  BD ARAGO, Paris 13.0"
"15.0  RUE SAINT HIPPOLYTE, Paris 13.0"
"28.0  RUE DELAMBRE, Paris 14.0"
"47.0  RUE MONTPARNASSE, Paris 14.0"
"19.0  RUE ODESSA, Paris 14.0"
"5.0  BD EDGAR QUINET, Paris 14.0"
"16.0  RUE GASSENDI, Paris 14.0"
"79.0  RUE FAUBOURG SAINT JACQUES, Paris 14.0"
"9.0  RUE DEPART, Paris 14.0"
"60.0  BD EDGAR QUINET, Paris 14.0"
"56.0  RUE AMIRAL MOUCHEZ, Paris 14.0"
"46.0  AV RENE COTY, Paris 14.0"
"19.0 B AV RENE COTY, Paris 14.0"
"41.0  BD SAINT JACQUES, Paris 14.0"
"19.0  AV GENERAL LECLERC, Paris 14.0"
"45.0  AV GENERAL LECLERC, Paris 14.0"
"35.0  RUE FRIANT, Paris 14.0"
"19.0  RUE POIRIER DE NARCAY, Paris 14.0"
"111.0 B RUE ALESIA, Paris 14.0"
"230.0  AV MAINE, Paris 14.0"
"3.0  RUE MOUTON DUVERNET, Paris 14.0"
"11.0  RUE DAGUERRE, Paris 14.0"
"39.0  RUE DAGUERRE, Paris 14.0"
"23.0  RUE DIDOT, Paris 14.0"
"233.0  RUE ALESIA, Paris 14.0"
"113.0  RUE RAYMOND LOSSERAND, Paris 14.0"
"46.0  RUE DIDOT, Paris 14.0"
"18.0  RUE DIDOT, Paris 14.0"
"25.0  RUE OUEST, Paris 14.0"
"22.0  RUE RAYMOND LOSSERAND, Paris 14.0"
"99.0 B RUE OUEST, Paris 14.0"
"80.0  RUE RAYMOND LOSSERAND, Paris 14.0"
"86.0  RUE RAYMOND LOSSERAND, Paris 14.0"
"1.0 B RUE PIERRE LAROUSSE, Paris 14.0"
"225.0  RUE RAYMOND LOSSERAND, Paris 14.0"
"21.0  RUE JEAN ZAY, Paris 14.0"
"65.0  RUE BRANCION, Paris 15.0"
"53.0  RUE MORILLONS, Paris 15.0"
"250.0  RUE CONVENTION, Paris 15.0"
"49.0  RUE OLIVIER DE SERRES, Paris 15.0"
"72.0  RUE OLIVIER DE SERRES, Paris 15.0"
"205.0  RUE CROIX NIVERT, Paris 15.0"
"111.0  RUE CROIX NIVERT, Paris 15.0"
"91.0  RUE CROIX NIVERT, Paris 15.0"
"8.0  PL GENERAL BEURET, Paris 15.0"
"110.0  RUE CAMBRONNE, Paris 15.0"
"256.0  RUE VAUGIRARD, Paris 15.0"
"25.0  RUE ALAIN CHARTIER, Paris 15.0"
"199.0 B RUE CONVENTION, Paris 15.0"
"317.0  RUE VAUGIRARD, Paris 15.0"
"8.0  RUE ALLERAY, Paris 15.0"
"31.0  RUE VICTOR DURUY, Paris 15.0"
"249.0  RUE VAUGIRARD, Paris 15.0"
"40.0  BD MONTPARNASSE, Paris 15.0"
"136.0  RUE VAUGIRARD, Paris 15.0"
"47.0  BD PASTEUR, Paris 15.0"
"11.0  RUE ARSONVAL, Paris 15.0"
"11.0  RUE COPREAUX, Paris 15.0"
"23.0  RUE VOLONTAIRES, Paris 15.0"
"25.0  BD GARIBALDI, Paris 15.0"
"65.0  BD VAUGIRARD, Paris 15.0"
"30.0  BD VAUGIRARD, Paris 15.0"
"105.0 B BD GRENELLE, Paris 15.0"
"8.0  RUE TIPHAINE, Paris 15.0"
"19.0  RUE COMMERCE, Paris 15.0"
"39.0  RUE LETELLIER, Paris 15.0"
"46.0  RUE COMMERCE, Paris 15.0"
"36.0  RUE LOURMEL, Paris 15.0"
"7.0  RUE BEAUGRENELLE, Paris 15.0"
"71.0 B RUE SAINT CHARLES, Paris 15.0"
"11.0  PL COMMERCE, Paris 15.0"
"64.0  RUE COMMERCE, Paris 15.0"
"1.0  RUE DUPLEIX, Paris 15.0"
"78.0  AV SUFFREN, Paris 15.0"
"71.0  RUE COMMERCE, Paris 15.0"
"8.0  RUE GRAMME, Paris 15.0"
"9.0  RUE LAKANAL, Paris 15.0"
"21.0  AV FELIX FAURE, Paris 15.0"
"45.0  AV FELIX FAURE, Paris 15.0"
"183.0  RUE LOURMEL, Paris 15.0"
"117.0  AV FELIX FAURE, Paris 15.0"
"194.0  RUE LOURMEL, Paris 15.0"
"148.0  RUE LOURMEL, Paris 15.0"
"88.0  RUE CONVENTION, Paris 15.0"
"108.0  RUE CONVENTION, Paris 15.0"
"18.0  AV FELIX FAURE, Paris 15.0"
"113.0  RUE JAVEL, Paris 15.0"
"99.0  RUE SAINT CHARLES, Paris 15.0"
"73.0  RUE CONVENTION, Paris 15.0"
"158.0  RPT SAINT CHARLES, Paris 15.0"
"177.0  AV VERSAILLES, Paris 16.0"
"49.0  RUE LE MAROIS, Paris 16.0"
"6.0  PL LEON DEUBEL, Paris 16.0"
"204.0  AV VERSAILLES, Paris 16.0"
"142.0  AV VERSAILLES, Paris 16.0"
"45.0  RUE JEAN DE LA FONTAINE, Paris 16.0"
"2.0  RUE PIERRE GUERIN, Paris 16.0"
"19.0  RUE AUTEUIL, Paris 16.0"
"39.0  RUE MOLITOR, Paris 16.0"
"37.0  RUE POUSSIN, Paris 16.0"
"38.0  RUE MOLITOR, Paris 16.0"
"28.0  RUE DOCTEUR BLANCHE, Paris 16.0"
"2.0  RUE CHAMFORT, Paris 16.0"
"36.0  RUE GEORGE SAND, Paris 16.0"
"36.0  RUE PASSY, Paris 16.0"
"89.0  AV PAUL DOUMER, Paris 16.0"
"24.0  RUE ANNONCIATION, Paris 16.0"
"12.0  RUE ANNONCIATION, Paris 16.0"
"67.0  RUE PASSY, Paris 16.0"
"1.0  RUE BAUCHES, Paris 16.0"
"4.0  RUE EDMOND ABOUT, Paris 16.0"
"97.0  RUE TOUR, Paris 16.0"
"16.0  RUE CORTAMBERT, Paris 16.0"
"78.0  RUE POMPE, Paris 16.0"
"20.0  RUE SCHEFFER, Paris 16.0"
"7.0  RUE GUSTAVE COURBET, Paris 16.0"
"13.0  RUE GUSTAVE COURBET, Paris 16.0"
"143.0  RUE POMPE, Paris 16.0"
"161.0  AV MALAKOFF, Paris 16.0"
"97.0  AV RAYMOND POINCARE, Paris 16.0"
"91.0  AV RAYMOND POINCARE, Paris 16.0"
"146.0  RUE POMPE, Paris 16.0"
"16.0  RUE BELLES FEUILLES, Paris 16.0"
"77.0  RUE LONGCHAMP, Paris 16.0"
"112.0  AV KLEBER, Paris 16.0"
"42.0  RUE LONGCHAMP, Paris 16.0"
"22.0  AV RAYMOND POINCARE, Paris 16.0"
"13.0  RUE COPERNIC, Paris 16.0"
"56.0  AV KLEBER, Paris 16.0"
"29.0  RUE DURET, Paris 16.0"
"18.0  RUE LAURISTON, Paris 16.0"
"53.0  RUE LAURISTON, Paris 16.0"
"1.0 B RUE CHAILLOT, Paris 16.0"
"51.0  RUE GALILEE, Paris 16.0"
"9.0  RUE BREY, Paris 17.0"
"11.0  RUE ETOILE, Paris 17.0"
"34.0  AV GRANDE ARMEE, Paris 17.0"
"63.0  AV TERNES, Paris 17.0"
"70.0  AV GRANDE ARMEE, Paris 17.0"
"23.0  RUE BRUNEL, Paris 17.0"
"8.0  BD GOUVION SAINT CYR, Paris 17.0"
"106.0  AV TERNES, Paris 17.0"
"92.0  AV TERNES, Paris 17.0"
"5.0  BD GOUVION SAINT CYR, Paris 17.0"
"1.0  RUE BERNARD BUFFET, Paris 17.0"
"43.0  RUE LAUGIER, Paris 17.0"
"66.0  AV TERNES, Paris 17.0"
"13.0  RUE RENNEQUIN, Paris 17.0"
"14.0  RUE BAYEN, Paris 17.0"
"12.0  AV NIEL, Paris 17.0"
"19.0  RUE DES RENAUDES, Paris 17.0"
"5.0  RUE ALEXANDRE CHARPENTIER, Paris 17.0"
"114.0  RUE COURCELLES, Paris 17.0"
"96.0  RUE COURCELLES, Paris 17.0"
"98.0  RUE PRONY, Paris 17.0"
"94.0  RUE PIERRE DEMOURS, Paris 17.0"
"3.0  PL MARECHAL JUIN, Paris 17.0"
"72.0  AV VILLIERS, Paris 17.0"
"16.0  RUE BREMONTIER, Paris 17.0"
"36.0  RUE JOUFFROY D ABBANS, Paris 17.0"
"39.0  RUE JOUFFROY D ABBANS, Paris 17.0"
"16.0  AV VILLIERS, Paris 17.0"
"110.0  RUE DAMES, Paris 17.0"
"53.0  RUE LEGENDRE, Paris 17.0"
"18.0  RUE JOUFFROY D ABBANS, Paris 17.0"
"19.0  RUE BOURSAULT, Paris 17.0"
"3.0  RUE PUTEAUX, Paris 17.0"
"62.0  RUE DAMES, Paris 17.0"
"118.0  RUE TRUFFAUT, Paris 17.0"
"108.0  RUE LEGENDRE, Paris 17.0"
"51.0  RUE LEMERCIER, Paris 17.0"
"66.0  PL DOCTEUR FELIX LOBLIGEOIS, Paris 17.0"
"26.0  RUE BATIGNOLLES, Paris 17.0"
"29.0  RUE LECLUSE, Paris 17.0"
"15.0  RUE DAMES, Paris 17.0"
"13.0  AV CLICHY, Paris 17.0"
"110.0  RUE CARDINET, Paris 17.0"
"177.0  AV CLICHY, Paris 17.0"
"184.0  AV CLICHY, Paris 17.0"
"109.0  AV SAINT OUEN, Paris 17.0"
"63.0  RUE GUY MOQUET, Paris 17.0"
"83.0  RUE MOINES, Paris 17.0"
"21.0  RUE DAVY, Paris 17.0"
"141.0  RUE LEGENDRE, Paris 17.0"
"47.0  AV SAINT OUEN, Paris 17.0"
"96.0  AV CLICHY, Paris 17.0"
"10.0  AV CLICHY, Paris 18.0"
"150.0  AV SAINT OUEN, Paris 18.0"
"138.0  BD NEY, Paris 18.0"
"186.0  RUE ORDENER, Paris 18.0"
"137.0  RUE ORDENER, Paris 18.0"
"106.0  RUE LAMARCK, Paris 18.0"
"33.0  RUE DAMREMONT, Paris 18.0"
"11.0  RUE CAULAINCOURT, Paris 18.0"
"28.0  RUE THOLOZE, Paris 18.0"
"32.0  RUE LEPIC, Paris 18.0"
"43.0  RUE CAULAINCOURT, Paris 18.0"
"97.0  RUE LAMARCK, Paris 18.0"
"40.0  AV SAINT OUEN, Paris 18.0"
"28.0  RUE YVONNE LE TAC, Paris 18.0"
"9.0  RUE MONT CENIS, Paris 18.0"
"122.0  RUE CAULAINCOURT, Paris 18.0"
"7.0  RUE TARDIEU, Paris 18.0"
"5.0  RUE SEVESTE, Paris 18.0"
"18.0  RUE STEINKERQUE, Paris 18.0"
"11.0  RUE MULLER, Paris 18.0"
"61.0  RUE RAMEY, Paris 18.0"
"63.0  RUE RAMEY, Paris 18.0"
"110.0 B RUE MARCADET, Paris 18.0"
"110.0 B RUE MARCADET, Paris 18.0"
"3.0  RUE EUGENE SUE, Paris 18.0"
"5.0  RUE EUGENE SUE, Paris 18.0"
"4.0  RUE EUGENE SUE, Paris 18.0"
"12.0  RUE EUGENE SUE, Paris 18.0"
"135.0  AV SAINT OUEN, Paris 17.0"
"27.0  RUE SIMART, Paris 18.0"
"119.0  RUE ORDENER, Paris 18.0"
"3.0  PL CHARLES BERNARD, Paris 18.0"
"5.0  RUE VERSIGNY, Paris 18.0"
"54.0  RUE ORDENER, Paris 18.0"
"30.0  RUE BOINOD, Paris 18.0"
"75.0  RUE DOUDEAUVILLE, Paris 18.0"
"50.0  RUE CLIGNANCOURT, Paris 18.0"
"96.0  RUE MYRHA, Paris 18.0"
"89.0  RUE MYRHA, Paris 18.0"
"38.0  RUE RAMEY, Paris 18.0"
"100.0  BD CHAPELLE, Paris 18.0"
"43.0  RUE DOUDEAUVILLE, Paris 18.0"
"45.0  RUE DOUDEAUVILLE, Paris 18.0"
"36.0  RUE DOUDEAUVILLE, Paris 18.0"
"23.0  RUE CHAPELLE, Paris 18.0"
"9.0  RUE DOUDEAUVILLE, Paris 18.0"
"72.0  RUE MARX DORMOY, Paris 18.0"
"81.0  RUE RIQUET, Paris 18.0"
"86.0 B RUE RIQUET, Paris 18.0"
"54.0 B RUE PHILIPPE DE GIRARD, Paris 18.0"
"192.0  RUE CRIMEE, Paris 19.0"
"10.0  AV FLANDRE, Paris 19.0"
"24.0  AV FLANDRE, Paris 19.0"
"35.0  QU SEINE, Paris 19.0"
"1.0  AV SECRETAN, Paris 19.0"
"29.0  AV SECRETAN, Paris 19.0"
"151.0  AV JEAN JAURES, Paris 19.0"
"52.0  RUE HAUTPOUL, Paris 19.0"
"176.0  AV JEAN JAURES, Paris 19.0"
"339.0 B RUE BELLEVILLE, Paris 19.0"
"265.0  RUE BELLEVILLE, Paris 19.0"
"190.0  AV CLICHY, Paris 17.0"
"20.0  RUE ROMAINVILLE, Paris 19.0"
"255.0  RUE BELLEVILLE, Paris 19.0"
"54.0  RUE MOUZAIA, Paris 19.0"
"56.0  BD SERURIER, Paris 19.0"
"103.0  RUE MANIN, Paris 19.0"
"105.0  RUE MANIN, Paris 19.0"
"97.0  RUE BELLEVILLE, Paris 19.0"
"118.0  RUE MEAUX, Paris 19.0"
"39.0  AV LAUMIERE, Paris 19.0"
"54.0  AV SECRETAN, Paris 19.0"
"9.0  RUE TRANSVAAL, Paris 20.0"
"373.0  RUE PYRENEES, Paris 20.0"
"21.0  RUE TELEGRAPHE, Paris 20.0"
"261.0  AV GAMBETTA, Paris 20.0"
"43.0  BD MORTIER, Paris 20.0"
"76.0  RUE BELGRAND, Paris 20.0"
"8.0 B RUE BELGRAND, Paris 20.0"
"1.0  RUE CAMBODGE, Paris 20.0"
"14.0  RUE GATINES, Paris 20.0"
"26.0  AV GAMBETTA, Paris 20.0"
"39.0  RUE ORFILA, Paris 20.0"
"94.0  RUE MENILMONTANT, Paris 20.0"
"142.0  BD MENILMONTANT, Paris 20.0"
"33.0  RUE VITRUVE, Paris 20.0"
"90.0  RUE PYRENEES, Paris 20.0"
"67.0  CRS VINCENNES, Paris 20.0"
"132.0  RUE AVRON, Paris 20.0"
"82.0  BD DAVOUT, Paris 20.0"
"2.0  BD DAVOUT, Paris 20.0"
"132.0  RUE BAGNOLET, Paris 20.0"
"1.0  RUE LUNE, Paris 2.0"
"127.0  RUE MONTMARTRE, Paris 2.0"
"10.0  RUE PONT AUX CHOUX, Paris 3.0"
"15.0  RUE SAINT PAUL, Paris 4.0"
"23.0  RUE BERTHOLLET, Paris 5.0"
"5.0  RUE ROBERT ESTIENNE, Paris 8.0"
"1.0  RUE VINTIMILLE, Paris 9.0"
"66.0  RUE CAUMARTIN, Paris 9.0"
"20.0  RUE GENERAL GUILHEM, Paris 11.0"
"7.0  RUE JULES VALLES, Paris 11.0"
"18.0  BD SAINT DENIS, Paris 10.0"
"30.0  RUE LEON FROT, Paris 11.0"
"18.0  RUE OBERKAMPF, Paris 11.0"
"8.0  PAS SAINTE ANNE POPINCOURT, Paris 11.0"
"145.0  QU VALMY, Paris 10.0"
"19.0  RUE GERANDO, Paris 9.0"
"4.0  BD DIDEROT, Paris 12.0"
"66.0  RUE GERGOVIE, Paris 14.0"
"14.0  RUE GUENOT, Paris 11.0"
"5.0  RUE AUGUSTE BARTHOLDI, Paris 15.0"
"8.0  RUE SAINT JEAN, Paris 17.0"
"16.0  RUE SALNEUVE, Paris 17.0"
"13.0  RUE CUSTINE, Paris 18.0"
"35.0  RUE RUISSEAU, Paris 18.0"
"86.0  RUE DAMREMONT, Paris 18.0"
"11.0  RUE MAURICE GENEVOIX, Paris 18.0"
"37.0  RUE JOSEPH DE MAISTRE, Paris 18.0"
"8.0  BD ORNANO, Paris 18.0"
"64.0  RUE POISSONNIERS, Paris 18.0"
"37.0  RUE MARCADET, Paris 18.0"
"5.0  RUE TERRE NEUVE, Paris 20.0"
"33.0  RUE CHARLOT, Paris 3.0"
"13.0  RUE REMY DUMONCEL, Paris 14.0"
"96.0  RUE ROQUETTE, Paris 11.0"
"28.0  RUE CHARONNE, Paris 11.0"
"29.0 B BD MAGENTA, Paris 10.0"
"17.0  RUE EVANGILE, Paris 18.0"
"1.0 B RUE GARREAU, Paris 18.0"
"76.0  BD VILLETTE, Paris 19.0"
"32.0  RUE SAMBRE ET MEUSE, Paris 10.0"
"82.0  BD MASSENA, Paris 13.0"
"58.0  RUE VIEILLE DU TEMPLE, Paris 3.0"
